pid,slopes,inference_error
101,0.0341249471723331,NaN
102,0.038467598326209,19.8227672852136
103,0.0266215476259482,40.796994281376
104,0.032160314854929,27.5805177687304
105,0.0320592859306623,35.3382688926929
106,0.0284298671547633,27.2551640698462
107,0.0269784588678117,4.69855986336272
108,0.0261763669937061,19.3993932477339
109,0.0323178144897334,35.2268525904016
110,0.00724864514744843,57.4293558773814
111,0.0073065240387801,34.7368119311959
112,0.0215694210523496,26.8028862879233
113,0.0273344795830194,29.5864826372646
114,0.0169461533626216,36.4748008237907
115,0.0245068894550197,31.8331806763799
116,-0.0014172375621738,23.2684667982364
117,-0.00824716883596716,33.2827853072474
118,0.0281047035267831,46.1924329007834
119,0.0256836811583688,44.8107032787183
120,0.0177597932225149,42.5303783955058
122,0.0238580362015506,14.8097102918241
123,0.00517223798810746,49.7529954721133
124,0.0324362158356143,39.3883451330347
125,0.0131041196176383,48.4381419579796
126,-0.00232683755348801,27.7114262908678
127,0.00944115331524497,38.4989168931351
128,0.00603492726885092,45.5159201248489
129,0.034158918413302,20.2985014909121
130,0.00844340307148717,20.9538288711906
131,0.0130251422136588,42.8324525695573
132,0.0270356172260313,13.4060963275921
133,0.0214003161524962,20.8592134129893
134,-0.00148090030645676,67.4114396022014
135,0.0219187008358577,39.4880583927416
139,0.0276872896833731,20.4417545342454
140,0.0328085179471714,22.4850267868892
141,-0.00356339917764147,26.0856044291569
142,0.00626763113997374,31.0005818115433
143,0.0118115447793495,55.2690516677009
144,0.0307417093388291,20.7465213005508
145,0.0198994763624775,21.6261120004348
146,0.016873550240111,35.7228621056199
147,0.0333612753282996,7.84518096295072
148,0.0331292871375135,18.1736835097334
149,0.0145183062726732,35.3294727743668
150,0.0322727209860636,15.6759982899065
151,-0.00167687883601606,35.5256962073094
152,0.0239146838758592,12.7009461236731
